Wed Mar 23 2022 08:59:24 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItems | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 09:00:14 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItems | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 11:14:43 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItems | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:49:15 GMT+0800 (China Standard Time) | ERROR | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Error: QueryFailedError: ER_NON_UNIQ_ERROR: Column 'status' in where clause is ambiguous","status":false} | 
Wed Mar 23 2022 13:49:18 GMT+0800 (China Standard Time) | ERROR | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Error: QueryFailedError: ER_NON_UNIQ_ERROR: Column 'status' in where clause is ambiguous","status":false} | 
Wed Mar 23 2022 13:49:20 GMT+0800 (China Standard Time) | ERROR | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Error: QueryFailedError: ER_NON_UNIQ_ERROR: Column 'status' in where clause is ambiguous","status":false} | 
Wed Mar 23 2022 13:50:53 GMT+0800 (China Standard Time) | ERROR | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Error: QueryFailedError: ER_NON_UNIQ_ERROR: Column 'status' in where clause is ambiguous","status":false} | 
Wed Mar 23 2022 13:50:55 GMT+0800 (China Standard Time) | ERROR | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Error: QueryFailedError: ER_NON_UNIQ_ERROR: Column 'status' in where clause is ambiguous","status":false} | 
Wed Mar 23 2022 13:51:54 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:52:04 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:52:07 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:52:08 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:52:33 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:52:37 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:53:09 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:53:13 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:53:46 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:53:48 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:53:58 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:54:05 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:56:04 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:56:23 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:56:24 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:56:49 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:56:50 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:57:09 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:57:09 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 13:57:28 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 13:57:29 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:57:48 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 13:57:49 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:57:53 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 13:57:53 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:58:34 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
