Wed Mar 23 2022 10:22:11 GMT+0800 (China Standard Time) | ERROR | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Error: QueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'FormSettings.udpate' in 'field list'","status":false} | 
Wed Mar 23 2022 10:22:13 GMT+0800 (China Standard Time) | ERROR | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Error: QueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'FormSettings.udpate' in 'field list'","status":false} | 
Wed Mar 23 2022 10:22:44 GMT+0800 (China Standard Time) | ERROR | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Error: QueryFailedError: ER_BAD_FIELD_ERROR: Unknown column 'FormSettings.udpated_date' in 'field list'","status":false} | 
Wed Mar 23 2022 10:23:38 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:26:56 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:27:00 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:27:07 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:27:10 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:27:14 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:27:18 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:27:42 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:27:48 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:27:52 GMT+0800 (China Standard Time) | ERROR | form-settings-api.log | API: /editFormSettings | data:{"message":"API Failed: TypeError: Cannot read property 'settings' of undefined","status":false} | 
Wed Mar 23 2022 10:28:32 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 1  Warnings: 1","protocol41":true,"changedRows":1},"affected":1},"status":true} | 
Wed Mar 23 2022 10:28:52 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:28:53 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:29:31 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:29:38 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 0  Warnings: 1","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
Wed Mar 23 2022 10:29:49 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 0  Warnings: 1","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
Wed Mar 23 2022 10:29:59 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:30:02 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 0  Warnings: 1","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
Wed Mar 23 2022 10:30:14 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:30:32 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 0  Warnings: 1","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
Wed Mar 23 2022 10:30:35 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 0  Warnings: 1","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
Wed Mar 23 2022 10:30:54 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 10:30:57 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 0  Warnings: 1","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
Wed Mar 23 2022 10:31:00 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /editFormSettings | data:{"message":"API Done","value":{"generatedMaps":[],"raw":{"fieldCount":0,"affectedRows":1,"insertId":0,"serverStatus":34,"warningCount":1,"message":"(Rows matched: 1  Changed: 0  Warnings: 1","protocol41":true,"changedRows":0},"affected":1},"status":true} | 
Wed Mar 23 2022 10:31:13 GMT+0800 (China Standard Time) | INFO | form-settings-api.log | API: /getAllFormSettings | data:{"message":"API Done","total":4,"status":true} | 
